id,bldgsqft,kivapin
75105,1777.1,100790
242573,1601.7,100239
144549,1925.7,10024
183310,2172.2,100241
186182,2453.1,100260
37175,1988.1,100243
115792,2585.5,100245
155846,2713.6,100246
110293,2040.9,100248
288811,2655.5,100250
242249,2823.4,100252
203208,2066.7,100254
33035,1568.3,10026
29835,2383.1,100261
32600,2106.5,100266
271077,2002.1,100269
144825,2191.6,100270
130847,2736.2,100272
29753,2074.2,100273
68453,1909.5,100276
276250,1611.4,100278
24531,1835.3,100280
105548,1779.3,100281
268604,1262.6,100771
237460,2060.2,100775
29521,1799.7,100778
213368,1471.4,100780
52203,1303.5,100395
171527,1210.9,100784
120434,1653.4,100787
24481,1210.9,100791
279922,1559.7,100793
173938,1189.4,100794
201668,2308.9,229139
56509,932.2,100378
209476,1951.5,10038
63059,1265.8,100386
200056,1292.8,100389
232991,1136.7,100391
186049,2156,100393
143611,233.6,100393
185809,1172.2,100403
155847,1947.2,100406
118052,1719,100409
83905,1353,100412
101400,4651.1,245813
159884,4444.5,245810
75102,1368.1,100419
218350,1333.7,100420
11614,1632.9,100421
150951,1447.8,100424
75104,1321.8,100425
266517,1134.5,100426
93628,1344.4,100427
56510,1397.2,100428
60461,1656.6,100431
45837,1743.8,100433
185499,1371.3,100434
17497,1288.5,100436
249265,1200.2,100447
223955,1427.3,100448
201596,1709.3,100450
213514,1340.1,100450
105577,2475.7,100451
251929,1720.1,100453
200147,1333.7,100454
251291,1167.9,100456
19003,3368.1,49374
35822,4509,49374
101400,4651.1,49374
117220,4386.3,49374
126346,2319.6,49374
236770,2298.1,49374
290467,2318.6,49374
218454,1533.9,100980
237957,1923.5,100981
135944,2335.8,100983
165210,2689.9,233507
148311,2685.6,233509
56939,2922.4,233519
233053,2145.3,233521
108727,2534.9,233524
10466,2097.9,233548
30351,2175.4,233548
32789,2273.4,233548
32844,1939.7,233548
48508,2186.2,233548
48509,2215.2,233548
52621,1674.9,233548
71531,2290.6,233548
71532,1956.9,233548
76655,2259.4,233548
79345,2134.5,233548
79352,1771.8,233548
81493,1851.4,233548
89361,2096.8,233548
89370,2176.5,233548
93101,1993.5,233548
99489,2291.7,233548
109088,2270.1,233548
120646,1949.4,233548
123596,2103.3,233548
131273,1740.5,233548
134189,2263.7,233548
154121,1843.9,233548
156353,1809.4,233548
160795,1803,233548
178526,1909.5,233548
192957,2252.9,233548
196602,1684.6,233548
196608,2231.4,233548
215105,2246.4,233548
219176,2250.8,233548
224848,2247.5,233548
227222,1744.8,233548
251777,2181.9,233548
252564,1786.8,233548
252573,1931.1,233548
257574,1850.3,233548
160984,2138.8,233549
184164,2255.1,233549
4812,2172.2,233549
4822,1974.1,233549
60956,2207.7,233549
89382,2137.7,233549
120589,2149.6,233549
123606,2250.8,233549
145265,2145.3,233549
178525,1822.3,233549
189094,2337.9,233549
200323,1585.5,233549
233288,2229.2,233549
257822,2009.6,233549
264034,1612.4,233549
268492,1646.9,233549
271321,1974.1,233549
276684,1642.6,233549
282895,2151.7,233549
12991,1102.2,112972
20262,1024.7,112975
5787,1840.6,112976
247915,1006.4,112977
139675,1604.9,112979
125742,1511.3,112980
38499,1173.3,112982
121388,1093.6,112984
1376,1673.8,112986
47208,1490.8,112987
58031,1113,112989
161493,4327.1,11299
278105,1085,11466
260662,1218.5,114661
38500,1555.4,114662
33372,1699.6,114664
8657,1775,114665
128318,1602.8,114667
247908,1742.7,114669
255851,807.3,114669
